what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971141515
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971142281
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971142546
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971273375
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1270971276062
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1270971277093
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1270971277250
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1270971277640
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1270971280625
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1270971282000
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971310281
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971318359
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971320500
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971322062
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971322671
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971323984
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971324828
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971326890
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971327609
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971335703
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971338140
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971348500
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1270971353734
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1270971354968
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971356218
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971397343
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971398359
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971570218
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971581046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971747515
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971748218
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971854890
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971856937
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971864890
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971865812
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971868984
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971870687
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971871421
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971872000
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971883640
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270971892062
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270972088140
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1270972088171
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1270972092218
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1270972094343
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1270972096468
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1270972099906
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1270972106125
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1270972107218
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1270972107359
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1270972107687
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1270972109765
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1270972111750
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1270972122515
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1270972125000
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1270972128578
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1270972130390
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270972136875
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270972137468
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270972137609
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270972137937
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270972138125
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270972140187
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270972140531
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270972141546
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270972141734
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270972142578
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270972142859
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270972167406
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1270972169781
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1270972170937
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1270972171125
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1270972171484
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1270972173437
