what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1269762329484
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762330531
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762331390
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762332031
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762334031
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762335281
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762337703
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762338890
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762339390
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762339515
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762342562
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762343046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762354453
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762355468
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762368421
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762370031
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762376203
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762378250
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762382562
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762383156
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762383703
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269762387375
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762425625
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762429000
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762429359
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762430906
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762431546
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762433265
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762434140
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762434234
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762434265
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762436046
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762592796
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762596484
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762596656
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762624875
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762625421
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269762629546
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269763092187
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269763102859
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269763103437
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269763103546
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269763107687
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269763110562
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269763111000
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269763113203
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269763117500
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269763119046
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1269763124421
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269763124718
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1269763127750
