what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863180703
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863215187
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1269863218765
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269863219390
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269863220265
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269863220984
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863231531
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863237765
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1269863245203
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269863246546
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1269863249078
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863249093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863250171
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1269863251187
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1269863253937
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863254406
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863269359
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269863270562
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269863271500
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863282093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863296140
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863297125
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863305390
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1269863307906
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1269863309203
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1269863310765
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269863311593
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1269863313453
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863313468
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863314437
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1269863315484
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1269863318656
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863319328
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863349843
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269863351312
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1269863353265
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1269863355656
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269863356765
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1269863358125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863358140
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863358906
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1269863360031
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1269863362718
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863363500
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863379609
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269863382328
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269863383156
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.ClassFileEditor",1269863386734
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.ClassFileEditor",1269863386828
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1269863386843
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269863388406
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.ClassFileEditor",1269863388406
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1269863400984
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269863410546
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269863411203
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269863412062
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863417531
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1269863417546
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863419140
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1269863426406
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1269863461968
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1269863499546
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863499796
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863534546
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863537375
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863596875
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269863596890
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1269863609531
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863619734
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863636437
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863638750
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863643546
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863644468
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863645703
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863645953
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269863646406
