what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1270991775546
java.runtime.version,sysinfo,,,"1.6.0_13-b03",1270991775546
java.specification.name,sysinfo,,,"Java Platform API Specification",1270991775546
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270991775546
java.specification.version,sysinfo,,,"1.6",1270991775546
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1270991775546
java.version,sysinfo,,,"1.6.0_13",1270991775546
java.vm.info,sysinfo,,,"mixed mode",1270991775546
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1270991775546
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1270991775546
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270991775546
java.vm.specification.version,sysinfo,,,"1.0",1270991775546
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1270991775546
java.vm.version,sysinfo,,,"11.3-b02",1270991775546
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1270991775609
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1270991775718
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1270991776281
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1270991819890
no handler,command,org.eclipse.datatools.sqltools.result.ui,,"org.eclipse.datatools.sqltools.result.removeAllInstances",1270991819984
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1270991826531
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270991829140
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270991832265
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1270991837656
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1270991837968
started,bundle,org.eclipse.mylyn.java.tasks,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.tasks",1270991840109
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1270991840187
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1270991840359
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1270991840671
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1270991842046
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1270991842312
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1270991842437
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270991843125
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270991850625
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270991850781
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270991851375
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270991851578
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270991852046
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270991852375
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270991852718
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270991853093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270991853906
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270991854046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270991887671
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270991887921
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270991898718
